"1","1","SONO ARRIVATE LE STANGATE FISCALI","TASSE"
"2","1","SIGLA DI TESTA E TITOLI DI CODA","L'INIZIO E LA FINE DI UN PROGRAMMA"
"3","1","UN QUALUNQUISTA NON HA IDEE POLITICHE","UN MODO DI PENSARE"
"4","1","SUPERARE ESAMI AL PRIMO COLPO","SPERANZA DEGLI STUDENTI"
"5","1","VINSERO BATTAGLIE GRAZIE ALLA LORO FOGA","LE AMAZZONI"
"6","1","LASCIA IL BATTERISTA D'ORAZIO","DIVORZIO IN CASA POOH"
"7","1","TENGO FAMIGLIA","MI GIUSTIFICO ALL'ITALIANA"
"8","1","EROE MARVEL IRONMAN","ROBERT DOWNEY JR"
"9","1","PRINCIPE SPOSTA UN'ATTRICE","MATRIMONIO REALE"
"10","1","FATTI MANDARE DALLA MAMMA","SUCCESSO DI MORANDI"
"11","1","NON POTEVANO RESTARE DA SOLI","I FIDANZATI DI UNA VOLTA"
"12","1","LA CANZONE DANCE SEXY","UN SUCCESSO STRABALLATO"
"13","1","UN BRACCIALE CHE PROTEGGE DAL SOLE","NOVITA' SULLA SPIAGGIA"
"14","1","MANO FREDDA CUORE CALDO","TIMIDEZZA PROVERBIALE"
"15","1","NON DIRE MAI COME FINISCE IL FILM","BON TON AL CINEMA"
"16","1","LE FACCINE DEGLI EMOTICON","ALLEGRIA! SUL CELLULARE"
"17","1","NE DICONO IL DOPPIO DELLE DONNE","UOMINI E PAROLACCE"
"18","1","PRIMA LA DOCCIA POI IL DOPOSOLE","TORNATI DAL MARE"
"19","1","SONO QUELLE RUBATE","LE FOTO PIU' BELLE"
"20","1","PARLARE DEL PIU' E DEL MENO","DIALOGO FRA MATEMATICI"
